Date,Close
8/11/2017,309.65
8/12/2017,308.35
8/13/2017,296.66
8/14/2017,299.16
8/15/2017,286.71
8/16/2017,300.45
8/17/2017,300.67
8/18/2017,292.87
8/19/2017,293.58
8/20/2017,297.79
8/21/2017,322
8/22/2017,314.19
8/23/2017,317.5
8/24/2017,324.56
8/25/2017,330.14
8/26/2017,332.99
8/27/2017,348.2
8/28/2017,347.54
8/29/2017,372.48
8/30/2017,384.1
8/31/2017,389.2
9/1/2017,392.87
9/2/2017,354.87
9/3/2017,353.06
9/4/2017,316.86
9/5/2017,320.08
9/6/2017,339.38
9/7/2017,335.56
9/8/2017,307.96
9/9/2017,304.99
9/10/2017,300.33
9/11/2017,298.47
9/12/2017,294.5
9/13/2017,275.71
9/14/2017,223.85
9/15/2017,260.88
9/16/2017,255.84
9/17/2017,259.66
9/18/2017,298
9/19/2017,282.8
9/20/2017,283.55
9/21/2017,258.11
9/22/2017,263.88
9/23/2017,286.03
9/24/2017,283.21
9/25/2017,294.41
9/26/2017,288.77
9/27/2017,309.85
9/28/2017,302.33
9/29/2017,291.88
9/30/2017,301.57
10/1/2017,303.25
10/2/2017,296.72
10/3/2017,292.36
10/4/2017,292
10/5/2017,294.89
10/6/2017,307.73
10/7/2017,311.12
10/8/2017,309.2
10/9/2017,297
10/10/2017,297.99
10/11/2017,302
10/12/2017,302.12
10/13/2017,335.89
10/14/2017,338.37
10/15/2017,336.89
10/16/2017,334.36
10/17/2017,316.37
10/18/2017,313.59
10/19/2017,308.02
10/20/2017,303.15
10/21/2017,300
10/22/2017,295.14
10/23/2017,285.83
10/24/2017,296.99
10/25/2017,296.76
10/26/2017,295.98
10/27/2017,297.59
10/28/2017,295.11
10/29/2017,303.38
10/30/2017,306.87
10/31/2017,303.51
11/1/2017,290.82
11/2/2017,285.4
11/3/2017,306
11/4/2017,301.66
11/5/2017,296.57
11/6/2017,297.32
11/7/2017,292.42
11/8/2017,307.91
11/9/2017,320.72
11/10/2017,298.04
11/11/2017,315.69
11/12/2017,307.1
11/13/2017,315.56
11/14/2017,335.04
11/15/2017,331.81
11/16/2017,330.21
11/17/2017,332.31
11/18/2017,346.6
11/19/2017,354.59
11/20/2017,368.24
11/21/2017,361.51
11/22/2017,381.73
11/23/2017,406.61
11/24/2017,470.98
11/25/2017,466.77
11/26/2017,473.99
11/27/2017,477.53
11/28/2017,468.52
11/29/2017,434.01
11/30/2017,434
12/1/2017,463.82
12/2/2017,460.34
12/3/2017,464.76
12/4/2017,468.22
12/5/2017,457.3
12/6/2017,432.49
12/7/2017,433.28
12/8/2017,463.45
12/9/2017,485.04
12/10/2017,447.51
12/11/2017,518
12/12/2017,686.82
12/13/2017,711.94
12/14/2017,705.01
12/15/2017,693.5
12/16/2017,703.59
12/17/2017,732.18
12/18/2017,785.65
12/19/2017,826.65
12/20/2017,802.86
12/21/2017,796.98
12/22/2017,682.11
12/23/2017,732.8
12/24/2017,697.04
12/25/2017,740.5
12/26/2017,755.07
12/27/2017,739.99
12/28/2017,719.5
12/29/2017,748.89
12/30/2017,710.58
12/31/2017,741.27
1/1/2018,759.03
1/2/2018,865
1/3/2018,938.31
1/4/2018,949
1/5/2018,969.27
1/6/2018,1006.68
1/7/2018,1118.3
1/8/2018,1137.01
1/9/2018,1290.01
1/10/2018,1246.94
1/11/2018,1137.01
1/12/2018,1260
1/13/2018,1386.02
1/14/2018,1365.46
1/15/2018,1278.63
1/16/2018,1080
1/17/2018,1028.06
1/18/2018,1025.78
1/19/2018,1037.45
1/20/2018,1150.02
1/21/2018,1047.13
1/22/2018,999.68
1/23/2018,984.03
1/24/2018,1056.99
1/25/2018,1040
1/26/2018,1045.57
1/27/2018,1100
1/28/2018,1215.01
1/29/2018,1162.27
1/30/2018,1054.39
1/31/2018,1105.01
2/1/2018,1017.48
2/2/2018,911.99
2/3/2018,969.4
2/4/2018,826
2/5/2018,693.54
2/6/2018,783.83
2/7/2018,750.04
2/8/2018,812
2/9/2018,875.99
2/10/2018,849.47
2/11/2018,811.35
2/12/2018,864.4
2/13/2018,840.49
2/14/2018,920.26
2/15/2018,929.3
2/16/2018,936.02
2/17/2018,974.99
2/18/2018,912.41
2/19/2018,939.01
2/20/2018,884.76
